CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
49456B101,KMI,KINDER MORGAN INC DEL,342837,-5563,11.5M,-186.53K,-1.6%,2%
828806109,SPG,SIMON PPTY GROUP INC NEW,1700,-1000,317.1K,-186.53K,-37%,0.05%
58155Q103,MCK,MCKESSON CORP,0,-250,0,-205.07K,CLOSE,0%
713448108,PEP,PEPSICO INC,0,-1500,0,-215.28K,CLOSE,0%
11135F101,AVGO,BROADCOM INC,0,-700,0,-242.27K,CLOSE,0%
14020X104,CGGO,CAPITAL GROUP GBL GROWTH EQT,0,-7107,0,-246.26K,CLOSE,0%
14040H105,COF,CAPITAL ONE FINL CORP,0,-1019,0,-246.97K,CLOSE,0%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,0,-600,0,-348.43K,CLOSE,0%
315948109,FBTC,FIDELITY WISE ORIGIN BITCOIN,0,-5469,0,-416.9K,CLOSE,0%
023135106,AMZN,AMAZON COM INC,12120,-2651,2.52M,-552.12K,-17.9%,0.43%
03831W108,APP,APPLOVIN CORP,0,-900,0,-606.44K,CLOSE,0%
Q4982L109,IREN,IREN LIMITED,29100,-30150,997.55K,-1.03M,-50.9%,0.17%
92537N108,VRT,VERTIV HOLDINGS CO,69555,-10100,17.43M,-2.53M,-12.7%,3%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,40255,-18800,13.6M,-6.35M,-31.8%,2.3%
Total,,,,,582.29M,60.97M,+12.1%,100%
