CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
14161W105,CDLX,CARDLYTICS INC,0,-29207,0,-33.59K,CLOSE,0%
30052F100,EVGO,EVGO INC,0,-12068,0,-35.12K,CLOSE,0%
0076CA104,AEG,AEGON LTD,24767,-4857,179.81K,-35.26K,-16.4%,0.15%
35168W103,GUTS,FRACTYL HEALTH INC,0,-18006,0,-39.61K,CLOSE,0%
53626N102,LION,LIONSGATE STUDIOS CORP,14076,-4138,134.99K,-39.68K,-22.7%,0.11%
500600101,KOPN,KOPIN CORP,0,-17024,0,-39.84K,CLOSE,0%
53946R106,LDI,LOANDEPOT INC,0,-19973,0,-41.34K,CLOSE,0%
28658R106,CLYM,CLIMB BIO INC,0,-10428,0,-41.71K,CLOSE,0%
63942X106,NVTS,NAVITAS SEMICONDUCTOR CORP,15295,-4764,134.14K,-41.78K,-23.7%,0.11%
45174J509,IHRT,IHEARTMEDIA INC,0,-10268,0,-42.72K,CLOSE,0%
36254L308,GTBP,GT BIOPHARMA INC,0,-54745,0,-42.99K,CLOSE,0%
53216B104,LFMD,LIFEMD INC,0,-13404,0,-45.71K,CLOSE,0%
912932100,UNIT,UNITI GROUP LLC,24662,-4902,231.33K,-45.98K,-16.6%,0.19%
92859G608,VZLA,VIZSLA SILVER CORP,16595,-14687,54.76K,-48.47K,-47%,0.05%
09352U108,BLND,BLEND LABS INC,0,-16440,0,-49.98K,CLOSE,0%
72651A207,PAGP,PLAINS GP HLDGS L P,9191,-2077,223.16K,-50.43K,-18.4%,0.19%
74765K105,QSI,QUANTUM SI INC,0,-45915,0,-50.51K,CLOSE,0%
83422N105,SLDP,SOLID POWER INC,22837,-17008,68.51K,-51.02K,-42.7%,0.06%
746964105,QTTB,Q32 BIO INC,0,-15510,0,-51.49K,CLOSE,0%
12047B105,BMBL,BUMBLE INC,0,-14588,0,-52.08K,CLOSE,0%
205826209,CMTL,COMTECH TELECOMMUNICATIONS C,0,-10089,0,-53.37K,CLOSE,0%
38046C109,GOGO,GOGO INC,15542,-13842,62.48K,-55.64K,-47.1%,0.05%
90400P101,UGP,ULTRAPAR PARTICIPACOES SA,0,-15312,0,-57.73K,CLOSE,0%
25400W102,APPS,DIGITAL TURBINE INC,0,-11652,0,-58.26K,CLOSE,0%
G3337S109,FBGL,FBS GLOBAL LTD,0,-60199,0,-58.36K,CLOSE,0%
78397Q109,SES,SES AI CORPORATION,0,-32435,0,-58.38K,CLOSE,0%
302130109,EXPD,EXPEDITORS INTL WASH INC,1515,-408,216.99K,-58.44K,-21.2%,0.18%
59935V107,MIST,MILESTONE PHARMACEUTICALS IN,0,-30124,0,-60.85K,CLOSE,0%
00288U106,ABCL,ABCELLERA BIOLOGICS INC,0,-18988,0,-64.94K,CLOSE,0%
66979P300,XWIN,XMAX INC,0,-11086,0,-66.52K,CLOSE,0%
104932207,BNAI,BRAND ENGAGEMENT NETWORK INC,0,-29704,0,-68.91K,CLOSE,0%
532275104,LWLG,LIGHTWAVE LOGIC INC,0,-21530,0,-69.76K,CLOSE,0%
24906P109,XRAY,DENTSPLY SIRONA INC,14492,-6019,168.11K,-69.82K,-29.3%,0.14%
92764N102,VIR,VIR BIOTECHNOLOGY INC,0,-12021,0,-72.49K,CLOSE,0%
70451X104,PAYO,PAYONEER GLOBAL INC,0,-13277,0,-74.62K,CLOSE,0%
45784M108,INV,INNVENTURE INC,0,-17898,0,-74.81K,CLOSE,0%
04746L203,LONA,ATHIRA PHARMA INC,0,-10108,0,-76.52K,CLOSE,0%
77313F106,RCKT,ROCKET PHARMACEUTICALS INC,0,-22079,0,-77.5K,CLOSE,0%
M87915274,TSEM,TOWER SEMICONDUCTOR LTD,1519,-451,266.55K,-79.14K,-22.9%,0.22%
92921W300,VUZI,VUZIX CORP,0,-21132,0,-79.88K,CLOSE,0%
640491106,NEOG,NEOGEN CORP,13121,-8804,121.89K,-81.79K,-40.2%,0.1%
G11448100,BTDR,BITDEER TECHNOLOGIES GROUP,19175,-9719,165.86K,-84.07K,-33.6%,0.14%
91823B109,UWMC,UWM HOLDINGS CORPORATION,51981,-23502,188.17K,-85.08K,-31.1%,0.16%
