CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
922042676,VNQI,VANGUARD INTL EQUITY INDEX F GLB EX US,6850,-141,304K,-6.26K,-2%,0.01%
631103108,NDAQ,NASDAQ INC,30431,-80,2.58M,-6.79K,-0.3%,0.11%
23355L106,DXC,DXC TECHNOLOGY CO,10623,-543,134K,-6.85K,-4.9%,<.01%
438516106,HON,HONEYWELL INTL INC,1207,-34,273K,-7.69K,-2.7%,0.01%
922908629,VO,VANGUARD INDEX FDS MID CAP,14114,-27,4.05M,-7.75K,-0.2%,0.17%
64110L106,NFLX,NETFLIX INC,5295,-94,509K,-9.04K,-1.7%,0.02%
539830109,LMT,LOCKHEED MARTIN CORP,667,-16,403K,-9.67K,-2.3%,0.02%
031162100,AMGN,AMGEN INC,1460,-29,514K,-10.21K,-1.9%,0.02%
882508104,TXN,TEXAS INSTRS INC,1454,-55,282K,-10.67K,-3.6%,0.01%
921946406,VYM,VANGUARD WHITEHALL FDS INC HIGH DIV,9810,-75,1.45M,-11.11K,-0.8%,0.06%
45866F104,ICE,INTERCONTINENTAL EXCHANGE IN,18805,-74,2.96M,-11.64K,-0.4%,0.12%
15135B101,CNC,CENTENE CORP DEL,37758,-386,1.24M,-12.64K,-1%,0.05%
09260D107,BX,BLACKSTONE GROUP INC COM,41776,-115,4.8M,-13.22K,-0.3%,0.2%
922042858,VWO,VANGUARD INTL EQUITY INDEX F FTSE EMR MKT,37560,-250,2.03M,-13.51K,-0.7%,0.08%
617446448,MS,MORGAN STANLEY,12776,-83,2.1M,-13.66K,-0.6%,0.09%
47759T100,JKS,JINKOSOLAR HLDG CO LTD,10450,-575,266K,-14.64K,-5.2%,0.01%
75886F107,REGN,REGENERON PHARMACEUTICALS,16102,-19,12.44M,-14.68K,-0.1%,0.51%
922908553,VNQ,VANGUARD INDEX FDS REIT,5857,-176,520K,-15.63K,-2.9%,0.02%
58933Y105,MRK,MERCK & CO INC,7921,-137,953K,-16.48K,-1.7%,0.04%
959802109,WU,WESTERN UN CO,14323,-2235,125K,-19.51K,-13.5%,<.01%
49446R109,KIM,KIMCO RLTY CORP,34736,-923,781K,-20.75K,-2.6%,0.03%
79466L302,CRM,SALESFORCE COM INC,2315,-116,432K,-21.65K,-4.8%,0.02%
92343V104,VZ,VERIZON COMMUNICATIONS INC,39073,-441,1.96M,-22.13K,-1.1%,0.08%
025072364,AVIV,AMERICAN CENTY TR INTERNATIONAL LR,12648,-324,946K,-24.23K,-2.5%,0.04%
31946M103,FCNCA,FIRST CTZNS BANCSHARES INC N,204,-14,385K,-26.42K,-6.4%,0.02%
110122108,BMY,BRISTOL MYERS SQUIBB CO,5516,-453,335K,-27.51K,-7.6%,0.01%
281020107,EIX,EDISON INTL,3833,-379,280K,-27.69K,-9%,0.01%
46137V357,RSP,INVESCO T S&P500 EQL WGT,13508,-149,2.59M,-28.59K,-1.1%,0.11%
023135106,AMZN,AMAZON COM INC,21132,-141,4.4M,-29.36K,-0.7%,0.18%
97717W851,DXJ,WISDOMTREE TR JAPN HEDGE,7925,-192,1.26M,-30.45K,-2.4%,0.05%
651639106,NEM,NEWMONT GOLDCORP CORPORATION,2048,-288,222K,-31.22K,-12.3%,<.01%
67066G104,NVDA,NVIDIA CORP,135283,-181,23.59M,-31.57K,-0.1%,0.96%
172967424,C,CITIGROUP INC,2180,-280,247K,-31.72K,-11.4%,0.01%
02079K107,GOOG,ALPHABET INC CAP STK,142435,-111,40.86M,-31.84K,-0.1%,1.7%
482480100,KLAC,KLA-TENCOR CORP,333,-22,491K,-32.44K,-6.2%,0.02%
464287655,IWM,ISHARES TR RUSSELL 2000,7851,-134,1.95M,-33.23K,-1.7%,0.08%
37045V100,GM,GENERAL MTRS CO,75436,-462,5.62M,-34.42K,-0.6%,0.23%
58733R102,MELI,MERCADOLIBRE INC,5500,-20,9.51M,-34.58K,-0.4%,0.39%
78464A474,SPSB,SPDR SERIES TRUST PORTFOLIO SHORT,41555,-1200,1.25M,-36.1K,-2.8%,0.05%
92556V106,VTRS,VIATRIS INC,17916,-2756,242K,-37.23K,-13.3%,<.01%
149123101,CAT,CATERPILLAR INC DEL,2373,-54,1.68M,-38.25K,-2.2%,0.07%
025816109,AXP,AMERICAN EXPRESS CO,958,-132,290K,-39.96K,-12.1%,0.01%
038222105,AMAT,APPLIED MATLS INC,53592,-118,18.32M,-40.33K,-0.2%,0.75%
G0084W101,ADNT,ADIENT PLC ORD,29412,-2088,594K,-42.17K,-6.6%,0.02%
N07059210,ASML,ASML HOLDING N V N Y REGISTRY,365,-32,482K,-42.26K,-8.1%,0.02%
921909768,VXUS,VANGUARD STAR FD VG TL INTL STK,75180,-559,5.8M,-43.1K,-0.7%,0.24%
35671D857,FCX,FREEPORT-MCMORAN INC,162622,-777,9.56M,-45.67K,-0.5%,0.39%
92189F676,SMH,VANECK ETF TRUST SEMICONDUCTR,2359,-124,904K,-47.52K,-5%,0.04%
512807108,LRCX,LAM RESEARCH CORP,1223,-226,261K,-48.23K,-15.6%,0.01%
389637109,GBTC,GRAYSCALE BITCOIN TR BTC,633993,-1008,31.04M,-49.35K,-0.2%,1.3%
911312106,UPS,UNITED PARCEL SERVICE INC,4398,-564,433K,-55.53K,-11.4%,0.02%
46434G848,PICK,ISHARES INC MSCI GBL,10891,-1029,616K,-58.2K,-8.6%,0.03%
78464A870,XBI,SPDR SER TR S&P,8881,-480,1.13M,-61.29K,-5.1%,0.05%
458140100,INTC,INTEL CORP,58449,-1501,2.58M,-66.23K,-2.5%,0.11%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,7511,-1725,289K,-66.37K,-18.7%,0.01%
260557103,DOW,DOW INC,51298,-1598,2.14M,-66.57K,-3%,0.09%
00724F101,ADBE,ADOBE SYSTEMS INCORPORATED,1742,-292,424K,-71.07K,-14.4%,0.02%
78467X109,DIA,SPDR DOW JONES INDL AVRG UT SER 1,12883,-154,5.97M,-71.33K,-1.2%,0.24%
H11356104,BG,BUNGE LIMITED,47338,-582,6.02M,-74.03K,-1.2%,0.25%
80004C200,SNDK,SANDISK CORP,13173,-118,8.37M,-74.97K,-0.9%,0.34%
68622V106,OGN,ORGANON & CO COMMON,0,-11604,0,-83K,CLOSE,0%
626717102,MUR,MURPHY OIL CORP,18521,-2063,764K,-85.1K,-10%,0.03%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,7330,-273,2.48M,-92.25K,-3.6%,0.1%
595112103,MU,MICRON TECHNOLOGY INC,1217,-277,411K,-93.55K,-18.5%,0.02%
464287804,IJR,ISHARES TR CORE S&P SCP,22536,-780,2.8M,-96.95K,-3.3%,0.11%
92206C870,VCIT,VANGUARD SCOTTSDALE FDS INT-TERM,27697,-1300,2.29M,-107.58K,-4.5%,0.09%
46428Q109,SLV,ISHARES SILVER TRUST,440963,-1790,30.05M,-121.97K,-0.4%,1.2%
46641Q159,JPIE,J P MORGAN EXCHANGE TRADED F,346190,-3205,15.95M,-147.65K,-0.9%,0.65%
922908363,VOO,VANGUARD INDEX FDS S&P 500 ETF,14655,-322,8.76M,-192.41K,-2.1%,0.36%
379577208,GMED,GLOBUS MED INC,0,-2300,0,-201K,CLOSE,0%
747525103,QCOM,QUALCOMM INC,0,-1209,0,-207K,CLOSE,0%
31428X106,FDX,FEDEX CORP,0,-727,0,-210K,CLOSE,0%
037833100,AAPL,APPLE INC,154238,-843,39.14M,-213.94K,-0.5%,1.6%
81369Y506,XLE,SELECT SECTOR SPDR TR ENERGY,14938,-3797,915K,-232.58K,-20.3%,0.04%
46434G822,EWJ,ISHARES INC MSCI JPN,13235,-3326,1.12M,-280.96K,-20.1%,0.05%
577125818,MEM,MATTHEWS ASIA FDS,115914,-8015,4.3M,-297.67K,-6.5%,0.18%
81369Y605,XLF,SELECT SECTOR SPDR TR SBI INT-FINL,55717,-6200,2.75M,-306.12K,-10%,0.11%
09174C104,BITB,BITWISE BITCOIN ETF TR,0,-6530,0,-311K,CLOSE,0%
46654Q203,JEPQ,J P MORGAN EXCHANGE TRADED F,7274,-6132,404K,-340.57K,-45.7%,0.02%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,160426,-2379,23.47M,-348K,-1.5%,0.96%
704699107,PGC,PEAPACK-GLADSTONE FINL CORP,0,-15000,0,-418K,CLOSE,0%
857477103,STT,STATE STR CORP,1854,-3416,235K,-432.99K,-64.8%,<.01%
051774107,AUR,AURORA INNOVATION INC,864028,-136900,3.56M,-564.06K,-13.7%,0.15%
