CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
33733E203,FBT,FIRST TR EXCHANGE-TRADED FD,23189,-458,4.66M,-91.98K,-1.9%,0.56%
30231G102,XOM,EXXON MOBIL CORP,2884,-612,489.3K,-103.83K,-17.5%,0.06%
78468R663,BIL,SPDR SERIES TRUST,9520,-1980,872.41K,-181.45K,-17.2%,0.11%
902681105,UGI,UGI CORP NEW,285356,-5447,10.39M,-198.38K,-1.9%,1.3%
92826C839,V,VISA INC,0,-598,0,-209.72K,CLOSE,0%
25179M103,DVN,DEVON ENERGY CORP NEW,280534,-4171,14.12M,-209.88K,-1.5%,1.7%
05605H100,BWXT,BWX TECHNOLOGIES INC,134062,-1030,27.41M,-210.62K,-0.8%,3.3%
548661107,LOW,LOWES COS INC,18214,-1021,4.3M,-241.24K,-5.3%,0.52%
25278X109,FANG,DIAMONDBACK ENERGY INC,72775,-1322,14.39M,-261.48K,-1.8%,1.7%
301505707,ROBO,EXCHANGE TRADED CONCEPTS TRU,19179,-4000,1.31M,-273.72K,-17.3%,0.16%
67066G104,NVDA,NVIDIA CORPORATION,317757,-3060,55.42M,-533.66K,-1%,6.7%
739128106,POWL,POWELL INDS INC,57989,-9984,10.46M,-1.8M,-14.7%,1.3%
502431109,LHX,L3HARRIS TECHNOLOGIES INC,49222,-6874,16.99M,-2.37M,-12.3%,2%
64110L106,NFLX,NETFLIX INC.,59133,-28330,5.69M,-2.72M,-32.4%,0.69%
87043Q108,SG,SWEETGREEN INC,0,-406480,0,-2.75M,CLOSE,0%
387328107,GVA,GRANITE CONSTR INC,147543,-24604,17.69M,-2.95M,-14.3%,2.1%
74762E102,PWR,QUANTA SVCS INC,54066,-7770,29.68M,-4.27M,-12.6%,3.6%
166764100,CVX,CHEVRON CORPORATION,118690,-22824,24.56M,-4.72M,-16.1%,3%
75513E101,RTX,RTX CORPORATION,111580,-24633,21.52M,-4.75M,-18.1%,2.6%
191216100,KO,COCA COLA CO,0,-75032,0,-5.25M,CLOSE,0%
92343V104,VZ,VERIZON COMMUNICATIONS INC,0,-149504,0,-6.09M,CLOSE,0%
704551100,BTU,PEABODY ENGR CORP,264271,-186928,8.71M,-6.16M,-41.4%,1.1%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,0,-50668,0,-15.01M,CLOSE,0%
Total,,,,,829.04M,-12.25M,-1.4%,100%
