CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
22266T109,CPNG,COUPANG INC,11859311,4782460,223.9M,90.29M,+67.6%,15.7%
81141R100,SE,SEA LTD,2124312,764320,175.91M,63.29M,+56.2%,12.3%
36164V800,GLIBK,GCI LIBERTY INC,1962339,1264155,73.02M,47.04M,+181.1%,5.1%
829933100,SIRI,SIRIUSXM HOLDINGS INC,5696724,-271300,131.48M,-6.26M,-4.5%,9.2%
40415F101,HDB,HDFC BANK LTD,7028262,-334364,174.86M,-8.32M,-4.5%,12.3%
44332N106,HTHT,H WORLD GROUP LTD,3535388,-168400,177.79M,-8.47M,-4.5%,12.5%
G6683N103,NU,NU HLDGS LTD,32644738,-1552500,469.1M,-22.31M,-4.5%,32.9%
35969L108,YMM,FULL TRUCK ALLIANCE CO LTD,0,-20380969,0,-218.69M,CLOSE,0%
Total,,,,,1.43B,-63.42M,-3.7%,100%
