CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
502431109,LHX,L3HARRIS TECHNOLOGIES INC,2157,0,744.49K,0,NO CHANGE,0.04%
533535100,LINC,LINCOLN EDL SVCS CORP,14007,0,569.8K,0,NO CHANGE,0.03%
36165L108,GDS,GDS HLDGS LTD,15281,-78,615.67K,-3.14K,-0.5%,0.03%
87876P201,TGEN,TECOGEN INC NEW,443555,-2255,1.14M,-5.77K,-0.5%,0.06%
147448104,CWST,CASELLA WASTE SYS INC,15100,-125,1.2M,-9.92K,-0.8%,0.06%
75321W103,PACK,RANPAK HOLDINGS CORP,1947681,-3049,6.95M,-10.88K,-0.2%,0.37%
30303M102,META,META PLATFORMS INC,10261,-57,5.87M,-32.61K,-0.6%,0.31%
74276L105,PRCT,PROCEPT BIOROBOTICS CORP,251716,-3402,6.3M,-85.08K,-1.3%,0.34%
03212B103,AMPY,AMPLIFY ENERGY CORP NEW,74120,-14943,462.51K,-93.24K,-16.8%,0.02%
80007P869,SD,SANDRIDGE ENERGY INC,123591,-10409,2.02M,-169.77K,-7.8%,0.11%
416906105,HBIO,HARVARD BIOSCIENCE INC,0,-409650,0,-273.97K,CLOSE,0%
94724R108,WEAV,WEAVE COMMUNICATIONS INC,0,-47600,0,-361.28K,CLOSE,0%
18270D106,CMTG,CLAROS MTG TR INC,0,-119700,0,-366.28K,CLOSE,0%
02079K107,GOOG,ALPHABET INC,5710,-1282,1.64M,-367.75K,-18.3%,0.09%
651229106,NWL,NEWELL BRANDS INC,0,-126100,0,-469.09K,CLOSE,0%
72703X106,PL,PLANET LABS PBC,47288,-21427,1.32M,-598.88K,-31.2%,0.07%
82489W107,SHLS,SHOALS TECHNOLOGIES GROUP IN,0,-72781,0,-618.64K,CLOSE,0%
G3934V109,GENI,GENIUS SPORTS LIMITED,2791018,-147101,12.36M,-651.66K,-5%,0.66%
75734B100,RDDT,REDDIT INC,0,-3558,0,-817.88K,CLOSE,0%
632307104,NTRA,NATERA INC,11418,-4170,2.28M,-833.96K,-26.8%,0.12%
359664109,FLGT,FULGENT GENETICS INC,106642,-62948,1.7M,-1M,-37.1%,0.09%
56146T103,MAMA,MAMAS CREATIONS INC,1176936,-68831,18.05M,-1.06M,-5.5%,0.96%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,32219,-5468,6.36M,-1.08M,-14.5%,0.34%
688239201,OSK,OSHKOSH CORP,18185,-7755,2.68M,-1.14M,-29.9%,0.14%
39304D102,GDOT,GREEN DOT CORP,298697,-108037,3.35M,-1.21M,-26.6%,0.18%
876030107,TPR,TAPESTRY INC,17038,-8830,2.4M,-1.25M,-34.1%,0.13%
03213A104,AMPL,AMPLITUDE INC,359593,-200503,2.45M,-1.37M,-35.8%,0.13%
92537N108,VRT,VERTIV HOLDINGS CO,0,-9039,0,-1.46M,CLOSE,0%
Y2573F102,FLEX,FLEXTRONICS INTL LTD,443128,-23785,29.01M,-1.56M,-5.1%,1.5%
739128106,POWL,POWELL INDS INC,75830,-3286,41.03M,-1.78M,-4.2%,2.2%
G8068L108,SN,SHARKNINJA INC,0,-15907,0,-1.78M,CLOSE,0%
68389X105,ORCL,ORACLE CORP,0,-9560,0,-1.86M,CLOSE,0%
G39108108,GTES,GATES INDL CORP PLC,0,-97125,0,-2.09M,CLOSE,0%
015271109,ARE,ALEXANDRIA REAL ESTATE EQ IN,0,-43555,0,-2.13M,CLOSE,0%
29357K103,ENVA,ENOVA INTL INC,80923,-16924,10.99M,-2.3M,-17.3%,0.58%
45569U101,INDI,INDIE SEMICONDUCTOR INC,0,-671998,0,-2.37M,CLOSE,0%
50077B207,KTOS,KRATOS DEFENSE & SEC SOLUTIO,259811,-34195,18.32M,-2.41M,-11.6%,0.97%
65290E101,NXT,NEXTPOWER INC,56747,-23042,6.84M,-2.78M,-28.9%,0.36%
86800U302,SMCI,SUPER MICRO COMPUTER INC,0,-96544,0,-2.83M,CLOSE,0%
30234F101,XZO,EXZEO GROUP INC,209885,-195129,3.08M,-2.86M,-48.2%,0.16%
594918104,MSFT,MICROSOFT CORP,0,-5972,0,-2.89M,CLOSE,0%
747906600,QMCO,QUANTUM CORP,0,-477214,0,-3.08M,CLOSE,0%
68989M202,OUST,OUSTER INC,0,-145148,0,-3.14M,CLOSE,0%
253798102,DGII,DIGI INTL INC,170256,-67294,8.21M,-3.24M,-28.3%,0.44%
26856L103,ELF,E L F BEAUTY INC,136707,-55615,8.29M,-3.37M,-28.9%,0.44%
589378108,MRCY,MERCURY SYS INC,0,-46348,0,-3.38M,CLOSE,0%
925815102,VICR,VICOR CORP,26670,-22051,4.29M,-3.55M,-45.3%,0.23%
M84137104,SMWB,SIMILARWEB LTD,0,-492861,0,-3.69M,CLOSE,0%
G38644103,GCT,GIGACLOUD TECHNOLOGY INC,52014,-85464,2.36M,-3.88M,-62.2%,0.13%
N72482206,QGEN,QIAGEN NV,0,-90182,0,-4.06M,CLOSE,0%
679369108,OLPX,OLAPLEX HLDGS INC,0,-3082600,0,-4.13M,CLOSE,0%
516544103,LNTH,LANTHEUS HLDGS INC,417390,-58399,31.66M,-4.43M,-12.3%,1.7%
G31249108,ESTA,ESTABLISHMENT LABS HLDGS INC,9573,-85075,543.55K,-4.83M,-89.9%,0.03%
801056102,SANM,SANMINA CORP,27332,-39257,3.54M,-5.09M,-59%,0.19%
438333106,HNST,HONEST CO INC,3045834,-1758372,8.95M,-5.17M,-36.6%,0.48%
05988J103,BAND,BANDWIDTH INC,0,-336874,0,-5.2M,CLOSE,0%
750491102,RDNT,RADNET INC,23728,-93778,1.33M,-5.24M,-79.8%,0.07%
74766Q101,QTRX,QUANTERIX CORP,2945823,-1579730,10.37M,-5.56M,-34.9%,0.55%
69120X206,OWLT,OWLET INC,0,-343543,0,-5.56M,CLOSE,0%
090572207,BIO,BIO RAD LABS INC,14173,-19986,3.95M,-5.57M,-58.5%,0.21%
87043Q108,SG,SWEETGREEN INC,0,-848085,0,-5.73M,CLOSE,0%
67018T105,NUS,NU SKIN ENTERPRISES INC,0,-596724,0,-5.74M,CLOSE,0%
257554105,DOMO,DOMO INC,197104,-1961666,603.14K,-6M,-90.9%,0.03%
78435P105,SEZL,SEZZLE INC,70046,-97827,4.43M,-6.19M,-58.3%,0.24%
26142V105,DKNG,DRAFTKINGS INC NEW,0,-183778,0,-6.33M,CLOSE,0%
25401T603,DBRG,DIGITALBRIDGE GROUP INC,373130,-451816,5.75M,-6.97M,-54.8%,0.31%
14167L103,CDNA,CAREDX INC,340352,-418423,5.91M,-7.26M,-55.1%,0.31%
235825205,DAN,DANA INC,34237,-218186,1.15M,-7.34M,-86.4%,0.06%
00108J109,ACMR,ACM RESH INC,83256,-202250,3.28M,-7.96M,-70.8%,0.17%
67000B104,NOVT,NOVANTA INC,37507,-69588,4.43M,-8.22M,-65%,0.24%
860372101,STC,STEWART INFORMATION SVCS COR,0,-117708,0,-8.27M,CLOSE,0%
40131M109,GH,GUARDANT HEALTH INC,14155,-89933,1.31M,-8.31M,-86.4%,0.07%
M98068105,WIX,WIX COM LTD,0,-80298,0,-8.34M,CLOSE,0%
941848103,WAT,WATERS CORP,0,-22379,0,-8.5M,CLOSE,0%
89377M109,TMDX,TRANSMEDICS GROUP INC,10688,-86205,1.06M,-8.57M,-89%,0.06%
68373M107,OPRA,OPERA LTD,0,-631177,0,-8.94M,CLOSE,0%
008073108,AVAV,AEROVIRONMENT INC,26880,-49078,4.92M,-8.98M,-64.6%,0.26%
14843C105,CSTL,CASTLE BIOSCIENCES INC,1350283,-379180,33.15M,-9.31M,-21.9%,1.8%
75134P600,METC,RAMACO RES INC,0,-561718,0,-10.11M,CLOSE,0%
98954M101,ZG,ZILLOW GROUP INC,0,-150068,0,-10.24M,CLOSE,0%
46571Y107,IIIV,I3 VERTICALS INC,207274,-464713,4.63M,-10.39M,-69.2%,0.25%
82452J109,FOUR,SHIFT4 PMTS INC,214284,-253779,9.37M,-11.1M,-54.2%,0.5%
00971T101,AKAM,AKAMAI TECHNOLOGIES INC,423442,-100879,48.63M,-11.59M,-19.2%,2.6%
567908108,HZO,MARINEMAX INC,0,-487426,0,-11.81M,CLOSE,0%
G87264100,TGLS,TECNOGLASS INC,0,-238852,0,-12.02M,CLOSE,0%
83304A106,SNAP,SNAP INC,0,-1496410,0,-12.08M,CLOSE,0%
532257805,LPTH,LIGHTPATH TECHNOLOGIES INC,1040462,-1291722,10.44M,-12.96M,-55.4%,0.56%
98956A105,ZETA,ZETA GLOBAL HOLDINGS CORP,486271,-832526,7.74M,-13.25M,-63.1%,0.41%
816850101,SMTC,SEMTECH CORP,332327,-176328,25.55M,-13.56M,-34.7%,1.4%
559222401,MGA,MAGNA INTL INC,0,-255481,0,-13.62M,CLOSE,0%
