CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
372460105,GPC,GENUINE PARTS CO,0,-1631,0,-200.55K,CLOSE,0%
427866108,HSY,HERSHEY CO,0,-1107,0,-201.45K,CLOSE,0%
72352L106,PINS,PINTEREST INC,0,-7920,0,-205.05K,CLOSE,0%
049468101,TEAM,ATLASSIAN CORPORATION,0,-1317,0,-213.54K,CLOSE,0%
46120E602,ISRG,INTUITIVE SURGICAL INC,0,-403,0,-228.24K,CLOSE,0%
90384S303,ULTA,ULTA BEAUTY INC,0,-378,0,-228.69K,CLOSE,0%
052769106,ADSK,AUTODESK INC,0,-787,0,-232.96K,CLOSE,0%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,0,-954,0,-244.25K,CLOSE,0%
81141R100,SE,SEA LTD,0,-2010,0,-256.42K,CLOSE,0%
91680M107,UPST,UPSTART HLDGS INC,0,-6233,0,-272.57K,CLOSE,0%
98138H101,WDAY,WORKDAY INC,0,-1305,0,-280.29K,CLOSE,0%
98954M101,ZG,ZILLOW GROUP INC,0,-4189,0,-285.81K,CLOSE,0%
72703H101,PLNT,PLANET FITNESS INC,0,-2640,0,-286.36K,CLOSE,0%
443573100,HUBS,HUBSPOT INC,0,-792,0,-317.83K,CLOSE,0%
88160R101,TSLA,TESLA INC,10469,-2629,3.89M,-977.33K,-20.1%,2.9%
Total,,,,,133.11M,6.99M,+4.9%,100%
