CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
517097101,LGO,LARGO INC,58346,-761341,65.35K,-852.71K,-92.9%,<.01%
75382E208,RAPT,RAPT THERAPEUTICS INC,0,-25185,0,-853.02K,CLOSE,0%
302635206,FSK,FS KKR CAP CORP,0,-57977,0,-858.64K,CLOSE,0%
69331C306,PCGPRX,PG&E CORP,96013,-20000,4.14M,-862.52K,-17.2%,<.01%
46489V302,CATX,PERSPECTIVE THERAPEUTICS INC,0,-314180,0,-864K,CLOSE,0%
78464A888,XHB,SPDR SERIES TRUST,5000,-8800,493.6K,-868.74K,-63.8%,<.01%
915271100,UVSP,UNIVEST FINANCIAL CORPORATIO,65793,-25647,2.25M,-878.67K,-28%,<.01%
44955L106,IAUX,I-80 GOLD CORP,0,-603230,0,-881.17K,CLOSE,0%
704699107,PGC,PEAPACK-GLADSTONE FINL CORP,13062,-25055,459.91K,-882.19K,-65.7%,<.01%
656811106,NOA,NORTH AMERN CONSTR GROUP LTD,25749,-66744,347.24K,-900.07K,-72.2%,<.01%
30260D103,FIGS,FIGS INC,240708,-61962,3.56M,-915.18K,-20.5%,<.01%
M0854Q105,ALLT,ALLOT LTD,0,-93194,0,-916.1K,CLOSE,0%
824889109,SCVL,SHOE CARNIVAL INC,0,-54364,0,-917.66K,CLOSE,0%
66611T108,NFBK,NORTHFIELD BANCORP INC DEL,87125,-67948,1.18M,-920.02K,-43.8%,<.01%
033853102,ANDG,ANDERSEN GROUP INC,0,-36382,0,-943.38K,CLOSE,0%
92214X106,VREX,VAREX IMAGING CORP,67193,-88938,712.92K,-943.63K,-57%,<.01%
23204X103,CTOS,CUSTOM TRUCK ONE SOURCE INC,242189,-143685,1.59M,-944.01K,-37.2%,<.01%
50060P106,KOP,KOPPERS HOLDINGS INC,0,-35116,0,-950.94K,CLOSE,0%
192576106,COHU,COHU INC,46714,-31089,1.43M,-951.95K,-40%,<.01%
78467Y107,MDY,SPDR S&P MIDCAP 400 ETF TR,0,-1580,0,-953.18K,CLOSE,0%
28620K106,ELE,ELEMENTAL RTY CORP,0,-56599,0,-958.42K,CLOSE,0%
G9675P102,WLAC,WILLOW LANE ACQUISITION CORP,108874,-91126,1.16M,-970.49K,-45.6%,<.01%
32054K103,FR,FIRST INDL RLTY TR INC,252874,-16801,14.63M,-971.94K,-6.2%,0.03%
94419L101,W,WAYFAIR INC,0,-9700,0,-973.98K,CLOSE,0%
L00849106,AGRO,ADECOAGRO S A,98115,-65335,1.47M,-981.33K,-40%,<.01%
75585H206,REAX,THE REAL BROKERAGE INC,1037710,-393995,2.59M,-984.99K,-27.5%,<.01%
74347M108,PUMP,PROPETRO HLDG CORP,0,-104057,0,-989.58K,CLOSE,0%
032797300,AVXL,ANAVEX LIFE SCIENCES CORP,0,-278018,0,-989.74K,CLOSE,0%
203937107,CWBC,COMMUNITY WEST BANCSHARES NE,0,-44173,0,-993.89K,CLOSE,0%
25960P109,DEI,DOUGLAS EMMETT INC,601429,-106460,5.67M,-1M,-15%,<.01%
50189K103,LCII,LCI INDS,0,-8394,0,-1.02M,CLOSE,0%
157210105,CEVA,CEVA INC,607434,-54596,11.35M,-1.02M,-8.2%,0.02%
48238T109,OPLN,OPENLANE INC,0,-34282,0,-1.02M,CLOSE,0%
42727J102,HRTG,HERITAGE INSURANCE HLDGS INC,0,-34947,0,-1.02M,CLOSE,0%
19247A100,CNS,COHEN & STEERS INC,0,-16472,0,-1.03M,CLOSE,0%
36828A101,GEV,GE VERNOVA INC,0,-1600,0,-1.05M,CLOSE,0%
126600105,CVBF,CVB FINL CORP,0,-56559,0,-1.05M,CLOSE,0%
68376D104,OPRT,OPORTUN FINL CORP,0,-202308,0,-1.07M,CLOSE,0%
576853105,MTRX,MATRIX SVC CO,22262,-93526,255.57K,-1.07M,-80.8%,<.01%
20441B704,ELPC,COMPANHIA PARANAENSE DE ENER,0,-113015,0,-1.07M,CLOSE,0%
