CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
02376R102,AAL,AMERICAN AIRLINES GROUP INC,216300,-39450,2.32M,-423.68K,-15.4%,1.1%
482480100,KLAC,KLA CORP,538,-306,792K,-450.47K,-36.3%,0.36%
038222105,AMAT,APPLIED MATLS INC,0,-1849,0,-475K,CLOSE,0%
573874104,MRVL,MARVELL TECHNOLOGY INC,16066,-5205,1.59M,-515.45K,-24.5%,0.73%
47215P106,JD,JD.COM INC,0,-20350,0,-584K,CLOSE,0%
433000106,HIMS,HIMS & HERS HEALTH INC,0,-18500,0,-601K,CLOSE,0%
780287108,RGLD,ROYAL GOLD INC,0,-2775,0,-617K,CLOSE,0%
482497104,BEKE,KE HLDGS INC,0,-40007,0,-631K,CLOSE,0%
17275R102,CSCO,CISCO SYS INC,7413,-8590,575K,-666.3K,-53.7%,0.26%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,0,-2505,0,-761K,CLOSE,0%
92189F106,GDX,VANECK ETF TRUST,16144,-8302,1.48M,-762.11K,-34%,0.68%
517834107,LVS,LAS VEGAS SANDS CORP,0,-12500,0,-814K,CLOSE,0%
82509L107,SHOP,SHOPIFY INC,1740,-8536,206K,-1.01M,-83.1%,0.09%
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,0,-28375,0,-1.05M,CLOSE,0%
78463V107,GLD,SPDR GOLD TR,1299,-2601,559K,-1.12M,-66.7%,0.26%
90353T100,UBER,UBER TECHNOLOGIES INC,8106,-16345,583K,-1.18M,-66.8%,0.27%
55087P104,LYFT,LYFT INC,18726,-88628,249K,-1.18M,-82.6%,0.11%
83304A106,SNAP,SNAP INC,68930,-271148,317K,-1.25M,-79.7%,0.15%
090040106,BILI,BILIBILI INC,0,-53203,0,-1.31M,CLOSE,0%
958102105,WDC,WESTERN DIGITAL CORP,2732,-5301,739K,-1.43M,-66%,0.34%
717081103,PFE,PFIZER INC,0,-64100,0,-1.6M,CLOSE,0%
50202M102,LI,LI AUTO INC,16463,-97367,294K,-1.74M,-85.5%,0.14%
464286400,EWZ,ISHARES INC,49875,-47925,1.92M,-1.84M,-49%,0.88%
62914V106,NIO,NIO INC,0,-412959,0,-2.11M,CLOSE,0%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,2342,-5977,918K,-2.34M,-71.8%,0.42%
02079K305,GOOGL,ALPHABET INC,5218,-8565,1.5M,-2.46M,-62.1%,0.69%
172967424,C,CITIGROUP INC,4703,-22797,533K,-2.58M,-82.9%,0.25%
149123101,CAT,CATERPILLAR INC,1093,-4469,774K,-3.16M,-80.3%,0.36%
670100205,NVO,NOVO-NORDISK A S,0,-62226,0,-3.17M,CLOSE,0%
38141G104,GS,GOLDMAN SACHS GROUP INC,0,-3850,0,-3.38M,CLOSE,0%
254687106,DIS,DISNEY WALT CO,0,-36195,0,-4.12M,CLOSE,0%
949746101,WFC,WELLS FARGO CO NEW,0,-46000,0,-4.29M,CLOSE,0%
722304102,PDD,PDD HOLDINGS INC,14433,-49075,1.48M,-5.02M,-77.3%,0.68%
285512109,EA,ELECTRONIC ARTS INC,0,-26500,0,-5.42M,CLOSE,0%
855244109,SBUX,STARBUCKS CORP,0,-223500,0,-18.82M,CLOSE,0%
Total,,,,,217.14M,73.12M,+48.4%,100%
