CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
925283103,VSNT,VERSANT MEDIA GROUP INC,8806,8806,326K,326K,NEW,<.01%
389637109,GBTC,GRAYSCALE BITCOIN TRUST ETF,6158,6158,324.9K,324.9K,NEW,<.01%
49177J102,KVUE,KENVUE INC,21862,18662,376.9K,321.73K,+583.2%,<.01%
G7S00T104,PNR,PENTAIR PLC,4456,3626,388.16K,315.86K,+436.9%,<.01%
G65163100,JOBY,JOBY AVIATION INC,112827,36261,931.95K,299.52K,+47.4%,0.02%
294821608,ERIC,TELEFONAKTIEBOLAGET LM ERICS,69232,25226,780.25K,284.3K,+57.3%,0.02%
422806109,HEI,HEICO CORP NEW,1018,1018,279.14K,279.14K,NEW,<.01%
681116109,OLLI,OLLIES BARGAIN OUTLET HLDGS,2989,2989,275.11K,275.11K,NEW,<.01%
12662P108,CVI,CVR ENERGY INC,8330,8082,280.31K,271.96K,+3258.9%,<.01%
884903808,TRI,THOMSON REUTERS CORP,2972,2972,267.42K,267.42K,NEW,<.01%
65473P105,NI,NISOURCE INC,5704,5704,266.15K,266.15K,NEW,<.01%
00402L107,ASO,ACADEMY SPORTS & OUTDOORS IN,4653,4653,262.66K,262.66K,NEW,<.01%
044186104,ASH,ASHLAND INC,4679,4679,260.2K,260.2K,NEW,<.01%
55826T102,SPHR,SPHERE ENTERTAINMENT CO,2162,2162,253.82K,253.82K,NEW,<.01%
00766T100,ACM,AECOM,2992,2992,253.78K,253.78K,NEW,<.01%
302941109,FCN,FTI CONSULTING INC,1430,1430,252.78K,252.78K,NEW,<.01%
636180101,NFG,NATIONAL FUEL GAS CO,2675,2675,251.34K,251.34K,NEW,<.01%
92204A702,VGT,VANGUARD WORLD FD,360,360,251.18K,251.18K,NEW,<.01%
172755100,CRUS,CIRRUS LOGIC INC,1724,1724,249.32K,249.32K,NEW,<.01%
97785W106,WOLF,WOLFSPEED INC,17139,15025,279.71K,245.21K,+710.7%,<.01%
45866F104,ICE,INTERCONTINENTAL EXCHANGE IN,89401,1557,14.06M,244.88K,+1.8%,0.29%
035710839,NLY,ANNALY CAPITAL MANAGEMENT IN,11514,11514,243.52K,243.52K,NEW,<.01%
86771W105,RUN,SUNRUN INC,17894,17894,242.64K,242.64K,NEW,<.01%
49446R109,KIM,KIMCO REALTY CORP,19720,10763,443.11K,241.84K,+120.2%,<.01%
P31076105,CPA,COPA HOLDINGS SA,2114,2114,240.17K,240.17K,NEW,<.01%
423452101,HP,HELMERICH & PAYNE INC,11464,6660,413.05K,239.96K,+138.6%,<.01%
17243V102,CNK,CINEMARK HLDGS INC,8325,8325,237.43K,237.43K,NEW,<.01%
134429109,CPB,THE CAMPBELLS COMPANY,10485,10485,233.5K,233.5K,NEW,<.01%
53681J103,LAC,LITHIUM AMERS CORP NEW,70040,58472,276.66K,230.96K,+505.5%,<.01%
00912X302,AL,AIR LEASE CORP,3548,3548,230.41K,230.41K,NEW,<.01%
980745103,WWD,WOODWARD INC,1586,643,567.66K,230.14K,+68.2%,0.01%
