CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
35834F104,TE,T1 ENERGY INC,405182,10425,1.78M,45.77K,+2.6%,<.01%
15643U104,LEU,CENTRUS ENERGY CORP,13337,260,2.32M,45.13K,+2%,<.01%
65290E101,NXT,NEXTPOWER INC,80095,318,9.66M,38.34K,+0.4%,<.01%
55272X607,MFA,MFA FINL INC,74929,2074,717.82K,19.87K,+2.8%,<.01%
859241101,STRL,STERLING INFRASTRUCTURE INC,1981,38,806.8K,15.48K,+2%,<.01%
655844108,NSC,NORFOLK SOUTHN CORP,6231,1,1.79M,287,+0%,<.01%
69331C306,PCGPRX,PG&E CORP,279165,0,12M,0,NO CHANGE,<.01%
097023204,BAPA,BOEING CO,50000,0,3.24M,0,NO CHANGE,<.01%
418056107,HAS,HASBRO INC,16950,0,1.59M,0,NO CHANGE,<.01%
G8994E103,TT,TRANE TECHNOLOGIES PLC,3016,0,1.26M,0,NO CHANGE,<.01%
65339F119,NEEPRT,NEXTERA ENERGY INC,10076,0,529.39K,0,NO CHANGE,<.01%
042068205,ARM,ARM HOLDINGS PLC,2232,-21,337.73K,-3.18K,-0.9%,<.01%
85571B105,STWD,STARWOOD PPTY TR INC,10882,-488,187.39K,-8.4K,-4.3%,<.01%
917047102,URBN,URBAN OUTFITTERS INC,11068,-249,701.16K,-15.77K,-2.2%,<.01%
45780R101,IBP,INSTALLED BLDG PRODS INC,3036,-69,805K,-18.3K,-2.2%,<.01%
970646105,WLFC,WILLIS LEASE FIN CORP,5039,-114,857.94K,-19.41K,-2.2%,<.01%
26817Q886,DX,DYNEX CAP INC,68893,-1589,879.08K,-20.28K,-2.3%,<.01%
002474104,AZZ,AZZ INC,8369,-190,1.05M,-23.77K,-2.2%,<.01%
801056102,SANM,SANMINA CORP,10449,-238,1.35M,-30.85K,-2.2%,<.01%
458665304,TILE,INTERFACE INC,54992,-1256,1.37M,-31.3K,-2.2%,<.01%
442487401,HOV,HOVNANIAN ENTERPRISES INC,12663,-287,1.4M,-31.83K,-2.2%,<.01%
82981J851,SITC,SITE CTRS CORP,286980,-6552,1.55M,-35.38K,-2.2%,<.01%
686688102,ORA,ORMAT TECHNOLOGIES INC,90328,-425,10.11M,-47.57K,-0.5%,<.01%
009158106,APD,AIR PRODUCTS AND CHEMICALS I,18474,-175,5.37M,-50.84K,-0.9%,<.01%
855244109,SBUX,STARBUCKS CORP,17222,-599,1.54M,-53.67K,-3.4%,<.01%
G29183103,ETN,EATON CORP PLC,2725,-176,974.65K,-62.95K,-6.1%,<.01%
05338F306,AVTX,AVALO THERAPEUTICS INC,470775,-4850,7.03M,-72.41K,-1%,<.01%
16679L109,CHWY,CHEWY INC,786785,-2682,21.24M,-72.41K,-0.3%,0.01%
136375102,CNI,CANADIAN NATL RY CO,72524,-766,7.45M,-78.72K,-1%,<.01%
29358P101,ENSG,ENSIGN GROUP INC,4154,-394,837.03K,-79.39K,-8.7%,<.01%
31846B108,FA,FIRST ADVANTAGE CORP NEW,626282,-7596,7.37M,-89.33K,-1.2%,<.01%
30234F101,XZO,EXZEO GROUP INC,574917,-6345,8.43M,-93.08K,-1.1%,<.01%
464287572,IOO,ISHARES TR,7208,-779,871.96K,-94.24K,-9.8%,<.01%
191216100,KO,COCA COLA CO,108404,-1241,8.24M,-94.38K,-1.1%,<.01%
206704108,BBCP,CONCRETE PUMPING HLDGS INC,1480929,-14280,10.57M,-101.96K,-1%,<.01%
93403J106,WRBY,WARBY PARKER INC,960299,-4976,20.23M,-104.84K,-0.5%,0.01%
464287309,IVW,ISHARES TR,2342,-934,264.93K,-105.65K,-28.5%,<.01%
64135M105,NGNE,NEUROGENE INC,527685,-5403,10.64M,-108.92K,-1%,<.01%
767292105,RIOT,RIOT PLATFORMS INC,44283,-8833,547.34K,-109.18K,-16.6%,<.01%
92538J106,VERX,VERTEX INC,982230,-9590,11.68M,-114.03K,-1%,<.01%
464287465,EFA,ISHARES TR,4755,-1217,461.85K,-118.21K,-20.4%,<.01%
86333M108,LRN,STRIDE INC,13761,-1455,1.21M,-128.29K,-9.6%,<.01%
571903202,MAR,MARRIOTT INTL INC NEW,755,-396,246.89K,-129.49K,-34.4%,<.01%
