CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
33740U505,FDEC,FIRST TR EXCHNG TRADED FD VI,4040,76,200.87K,3.78K,+1.9%,0.06%
316773100,FITB,FIFTH THIRD BANCORP,5028,62,233.59K,2.88K,+1.2%,0.07%
254687106,DIS,DISNEY WALT CO,4316,28,415.93K,2.7K,+0.7%,0.13%
126408103,CSX,CSX CORP,6382,49,261.99K,2.01K,+0.8%,0.08%
512807306,LRCX,LAM RESEARCH CORP,4030,4,861.16K,854.75,+0.1%,0.27%
57636Q104,MA,MASTERCARD INCORPORATED,699,1,349.26K,499.66,+0.1%,0.11%
23325P104,DNP,DNP SELECT INCOME FD INC,53455,28,550.59K,288.4,+0.1%,0.17%
464287465,EFA,ISHARES TR,4941,0,479.92K,0,NO CHANGE,0.15%
33740F458,GAPR,FIRST TR EXCHNG TRADED FD VI,11803,0,477.67K,0,NO CHANGE,0.15%
780087102,RY,ROYAL BK CDA,2817,0,455.68K,0,NO CHANGE,0.14%
00326A104,SGOL,ETFS GOLD TR,7930,0,353.84K,0,NO CHANGE,0.11%
33740U869,YJUN,FIRST TR EXCHNG TRADED FD VI,13321,0,343.02K,0,NO CHANGE,0.11%
37960A438,CLIP,GLOBAL X FDS,3282,0,329.38K,0,NO CHANGE,0.1%
33740F664,FOCT,FIRST TR EXCHNG TRADED FD VI,4980,0,237.45K,0,NO CHANGE,0.07%
00214Q104,ARKK,ARK ETF TR,3248,0,219.54K,0,NO CHANGE,0.07%
00130H105,AES,AES CORP,10781,0,151.9K,0,NO CHANGE,0.05%
27829F108,EXG,EATON VANCE TAX-MANAGED GLOB,11717,0,101.47K,0,NO CHANGE,0.03%
18914F103,CLOV,CLOVER HEALTH INVESTMENTS CO,20200,0,35.55K,0,NO CHANGE,0.01%
91324P102,UNH,UNITEDHEALTH GROUP INC,1275,-2,344.88K,-540.99,-0.2%,0.11%
717081103,PFE,PFIZER INC,10488,-30,294.5K,-842.38,-0.3%,0.09%
G1151C101,ACN,ACCENTURE PLC IRELAND,1150,-5,228.03K,-991.45,-0.4%,0.07%
713448108,PEP,PEPSICO INC,1653,-7,256.73K,-1.09K,-0.4%,0.08%
33740U307,FSEP,FIRST TR EXCHNG TRADED FD VI,4995,-22,251.4K,-1.11K,-0.4%,0.08%
747525103,QCOM,QUALCOMM INC,1676,-10,215.79K,-1.29K,-0.6%,0.07%
62914V106,NIO,NIO INC,36877,-300,222.37K,-1.81K,-0.8%,0.07%
74762E102,PWR,QUANTA SVCS INC,1345,-5,738.55K,-2.75K,-0.4%,0.23%
38141G104,GS,GOLDMAN SACHS GROUP INC,2358,-6,2M,-5.08K,-0.3%,0.62%
464287408,IVE,ISHARES TR,1223,-25,258.24K,-5.28K,-2%,0.08%
00534A102,IVVD,INVIVYD INC,20000,-5000,26K,-6.5K,-20%,<.01%
931142103,WMT,WALMART INC,14891,-58,1.85M,-7.21K,-0.4%,0.58%
33740U885,FAPR,FIRST TR EXCHNG TRADED FD VI,10607,-186,476.31K,-8.35K,-1.7%,0.15%
92343V104,VZ,VERIZON COMMUNICATIONS INC,13941,-187,699.86K,-9.39K,-1.3%,0.22%
69374H873,ICOW,PACER FDS TR,5610,-226,238.08K,-9.59K,-3.9%,0.07%
33740U695,GOCT,FIRST TR EXCHNG TRADED FD VI,13860,-312,535.37K,-12.05K,-2.2%,0.17%
49456B101,KMI,KINDER MORGAN INC DEL,8596,-404,288.21K,-13.55K,-4.5%,0.09%
701094104,PH,PARKER-HANNIFIN CORP,750,-16,671.67K,-14.33K,-2.1%,0.21%
59156R108,MET,METLIFE INC,3322,-214,234.96K,-15.14K,-6.1%,0.07%
742718109,PG,PROCTER & GAMBLE CO,2549,-115,368.11K,-16.61K,-4.3%,0.12%
744320102,PRU,PRUDENTIAL FINL INC,2986,-189,291.73K,-18.46K,-6%,0.09%
33740F466,SMAY,FIRST TR EXCHNG TRADED FD VI,13149,-734,345.94K,-19.31K,-5.3%,0.11%
64110L106,NFLX,NETFLIX INC.,6078,-202,584.4K,-19.42K,-3.2%,0.18%
03027X100,AMT,AMERICAN TOWER CORP,3559,-127,614.21K,-21.92K,-3.4%,0.19%
060505104,BAC,BANK AMERICA CORP,23896,-552,1.16M,-26.91K,-2.3%,0.36%
17275R102,CSCO,CISCO SYS INC,7418,-437,575.6K,-33.91K,-5.6%,0.18%
002824100,ABT,ABBOTT LABORATORIES,2133,-343,218.98K,-35.21K,-13.9%,0.07%
20825C104,COP,CONOCOPHILLIPS,3303,-276,435.94K,-36.43K,-7.7%,0.14%
464287556,IBB,ISHARES TR,1380,-218,233.04K,-36.81K,-13.6%,0.07%
097023105,BA,BOEING CO,7520,-191,1.5M,-38.01K,-2.5%,0.47%
842587107,SO,SOUTHERN CO,5959,-456,575.12K,-44.01K,-7.1%,0.18%
78468R663,BIL,SPDR SERIES TRUST,16250,-530,1.49M,-48.57K,-3.2%,0.47%
651639106,NEM,NEWMONT CORP,11022,-508,1.19M,-54.99K,-4.4%,0.37%
33740F581,QMAR,FIRST TR EXCHNG TRADED FD VI,26090,-1681,877.15K,-56.52K,-6.1%,0.27%
550021109,LULU,LULULEMON ATHLETICA INC,2124,-386,325.18K,-59.1K,-15.4%,0.1%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,4226,-244,1.02M,-59.14K,-5.5%,0.32%
172967424,C,CITIGROUP INC,21075,-560,2.39M,-63.51K,-2.6%,0.75%
437076102,HD,HOME DEPOT INC,1875,-209,616.74K,-68.75K,-10%,0.19%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,44291,-2071,1.7M,-79.57K,-4.5%,0.53%
90353T100,UBER,UBER TECHNOLOGIES INC,3101,-1241,223.06K,-89.27K,-28.6%,0.07%
11135F101,AVGO,BROADCOM INC,9896,-313,3.06M,-96.88K,-3.1%,0.96%
00724F101,ADBE,ADOBE INC,2454,-493,596.52K,-119.84K,-16.7%,0.19%
21036P108,STZ,CONSTELLATION BRANDS INC,4064,-865,609.6K,-129.75K,-17.5%,0.19%
302301106,EZPW,EZCORP INC,107433,-6612,2.73M,-167.81K,-5.8%,0.85%
79466L302,CRM,SALESFORCE INC,5082,-1063,948.65K,-198.43K,-17.3%,0.3%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,0,-431,0,-202.04K,CLOSE,0%
33740F847,FNOV,FIRST TR EXCHNG TRADED FD VI,0,-3707,0,-203.25K,CLOSE,0%
