CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
007903107,AMD,ADVANCED MICRO DEVICES INC,11786,-298,2.4M,-60.62K,-2.5%,0.7%
67103H107,ORLY,OREILLY AUTOMOTIVE INC,3684,-724,321.7K,-63.22K,-16.4%,0.09%
88160R101,TSLA,TESLA INC,9255,-178,3.45M,-66.27K,-1.9%,1%
713448108,PEP,PEPSICO INC,8590,-442,1.3M,-66.99K,-4.9%,0.38%
00162Q387,OUSA,ALPS ETF TR,10802,-1267,601.32K,-70.53K,-10.5%,0.18%
00287Y109,ABBV,ABBVIE INC,18360,-364,3.99M,-79.17K,-1.9%,1.2%
437076102,HD,HOME DEPOT INC,2068,-251,668.9K,-81.19K,-10.8%,0.2%
693475105,PNC,PNC FINL SVCS GROUP INC,4871,-397,1.01M,-82.35K,-7.5%,0.3%
45841N107,IBKR,INTERACTIVE BROKERS GROUP IN,4646,-1303,311.56K,-87.38K,-21.9%,0.09%
573874104,MRVL,MARVELL TECHNOLOGY INC,22773,-917,2.26M,-90.83K,-3.9%,0.66%
504922105,LH,LABCORP HOLDINGS INC,1510,-344,402.99K,-91.81K,-18.6%,0.12%
78464A698,KRE,SPDR SERIES TRUST,26302,-1537,1.71M,-100.14K,-5.5%,0.5%
46641Q332,JEPI,J P MORGAN EXCHANGE TRADED F,9937,-1879,563.26K,-106.51K,-15.9%,0.16%
833445109,SNOW,SNOWFLAKE INC,2169,-715,327.13K,-107.84K,-24.8%,0.1%
78467X109,DIA,STATE STR SPDR DOW JONES IND,3863,-240,1.79M,-111.17K,-5.8%,0.52%
655844108,NSC,NORFOLK SOUTHN CORP,1169,-401,335.43K,-115.06K,-25.5%,0.1%
69351T106,PPL,PPL CORP,162972,-3058,6.23M,-116.82K,-1.8%,1.8%
30303M102,META,META PLATFORMS INC,9505,-209,5.44M,-119.57K,-2.2%,1.6%
023135106,AMZN,AMAZON COM INC,33964,-591,7.07M,-123.09K,-1.7%,2.1%
92206C870,VCIT,VANGUARD SCOTTSDALE FDS,13035,-1596,1.08M,-132.07K,-10.9%,0.32%
64110L106,NFLX,NETFLIX INC.,28970,-1502,2.79M,-144.42K,-4.9%,0.82%
46429B697,USMV,ISHARES TR,3216,-1727,298.18K,-160.13K,-34.9%,0.09%
922908751,VB,VANGUARD INDEX FDS,13901,-614,3.65M,-161.06K,-4.2%,1.1%
464288687,PFF,ISHARES TR,24141,-5903,731.94K,-178.97K,-19.6%,0.21%
922908769,VTI,VANGUARD INDEX FDS,6319,-576,2.03M,-184.78K,-8.4%,0.59%
464287549,IGM,ISHARES TR,5646,-1584,669.21K,-187.75K,-21.9%,0.2%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,14670,-511,5.74M,-199.91K,-3.4%,1.7%
254687106,DIS,DISNEY WALT CO,0,-1821,0,-207.22K,CLOSE,0%
46138E362,SPHD,INVESCO EXCH TRADED FD TR II,0,-4429,0,-212.57K,CLOSE,0%
25459Y694,FAS,DIREXION SHS ETF TR,0,-1267,0,-213.27K,CLOSE,0%
58733R102,MELI,MERCADOLIBRE INC,0,-111,0,-223.58K,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,378385,-1344,66.05M,-234.6K,-0.4%,19.3%
02079K305,GOOGL,ALPHABET INC,14547,-843,4.18M,-242.41K,-5.5%,1.2%
78464A409,SPYG,SPDR SERIES TRUST,0,-2293,0,-244.68K,CLOSE,0%
629377508,NRG,NRG ENERGY INC,0,-1544,0,-245.99K,CLOSE,0%
315912808,ONEQ,FIDELITY COMWLTH TR,6863,-3573,582.69K,-303.36K,-34.2%,0.17%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,16790,-636,8.05M,-304.78K,-3.6%,2.4%
09260D107,BX,BLACKSTONE INC,17680,-3244,2.03M,-373.03K,-15.5%,0.6%
922908629,VO,VANGUARD INDEX FDS,12585,-1328,3.59M,-379.2K,-9.5%,1.1%
91324P102,UNH,UNITEDHEALTH GROUP INC,1965,-1413,531.69K,-382.33K,-41.8%,0.16%
922908736,VUG,VANGUARD INDEX FDS,10276,-1067,4.49M,-465.79K,-9.4%,1.3%
00724F101,ADBE,ADOBE INC,0,-1382,0,-483.69K,CLOSE,0%
921946406,VYM,VANGUARD WHITEHALL FDS,88704,-4093,13.17M,-607.85K,-4.4%,3.9%
594918104,MSFT,MICROSOFT CORP,38724,-1959,14.33M,-725.17K,-4.8%,4.2%
37954Y384,BUG,GLOBAL X FDS,0,-24210,0,-737.44K,CLOSE,0%
126408103,CSX,CSX CORP,4886,-21804,200.58K,-895.1K,-81.7%,0.06%
037833100,AAPL,APPLE INC,70373,-4062,17.86M,-1.03M,-5.5%,5.2%
79466L302,CRM,SALESFORCE INC,0,-5410,0,-1.43M,CLOSE,0%
78462F103,SPY,STATE STR SPDR S&P 500 ETF T,21564,-2278,14.02M,-1.48M,-9.6%,4.1%
46090E103,QQQ,INVESCO QQQ TR,28432,-2812,16.52M,-1.63M,-9%,4.8%
464287515,IGV,ISHARES TR,0,-34288,0,-3.62M,CLOSE,0%
Total,,,,,341.67M,-6.86M,-1.9%,100%
