CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
03879J100,ABUS,ARBUTUS BIOPHARMA CORP,0,-10721,0,-51.57K,CLOSE,0%
26923Q721,GMEU,ETF OPPORTUNITIES TRUST T REX 2X,208,-5097,2.12K,-51.95K,-96.1%,<.01%
46092D103,APPX,INVESTMENT MANAGERS SER TR I TRADR,0,-1516,0,-53.73K,CLOSE,0%
88579Y101,MMM,3M CO,0,-337,0,-53.95K,CLOSE,0%
032037103,AP,AMPCO-PITTSBURG CORP,0,-10287,0,-54.83K,CLOSE,0%
15643U104,LEU,CENTRUS ENERGY CORP,0,-231,0,-56.08K,CLOSE,0%
98148L746,BTCZ,WORLD FDS TR T,0,-14692,0,-61.85K,CLOSE,0%
59516C106,MVST,MICROVAST HOLDINGS INC,0,-23319,0,-65.29K,CLOSE,0%
88636X724,AMDY,TIDAL TRUST II YIELDMAX,0,-1786,0,-67.96K,CLOSE,0%
464288513,HYG,ISHARES TR IBOXX HI,11977,-897,952.89K,-71.37K,-7%,0.13%
64110L106,NFLX,NETFLIX INC,0,-764,0,-71.63K,CLOSE,0%
06367V402,FNGD,BANK,0,-14007,0,-73.82K,CLOSE,0%
G2662B103,CRML,CRITICAL METALS CORP PUBCO ORD,0,-10742,0,-74.55K,CLOSE,0%
25401T603,DBRG,DIGITALBRIDGE GROUP INC CL,0,-4897,0,-75.12K,CLOSE,0%
09175A206,BMNR,BITMINE IMMERSION TECNOLOGIE,0,-2891,0,-78.49K,CLOSE,0%
05338F306,AVTX,AVALO THERAPEUTICS INC,0,-4526,0,-82.19K,CLOSE,0%
00214Q203,ARKQ,ARK ETF,2033,-780,228.61K,-87.71K,-27.7%,0.03%
882927460,HOOG,THEMES ETF TR LEVERAGE,0,-1695,0,-92.11K,CLOSE,0%
77926X502,YBTC,ROUNDHILL,8297,-4522,174.74K,-95.23K,-35.3%,0.02%
46092D590,CLSX,INVESTMENT MANAGERS SER TR I TRADR 2X LONG,0,-6086,0,-98.65K,CLOSE,0%
820014405,SBET,SHARPLINK INC,20489,-16294,132.15K,-105.1K,-44.3%,0.02%
92864M780,XRPI,VOLATILITY SHS TR,0,-10016,0,-105.87K,CLOSE,0%
25461A841,GGLL,DIREXION SHARES ETF TRUST DLY GOOGL,4403,-1394,343.65K,-108.8K,-24%,0.05%
85210B102,SGDM,SPROTT ETF TRUST,1338,-1462,101.01K,-110.37K,-52.2%,0.01%
77926X718,NVDW,ROUNDHILL ETF TRUST,0,-2657,0,-111.17K,CLOSE,0%
88166A409,CANE,TEUCRIUM COMMODITY,0,-11547,0,-112.64K,CLOSE,0%
38747R652,TSMU,GRANITESHARES ETF TR 2X LONG,0,-2593,0,-113.65K,CLOSE,0%
88636R404,HOOY,TIDAL TRUST II YIELDMAX,0,-2432,0,-115.35K,CLOSE,0%
02156V109,OKLO,OKLO INC COM,0,-1645,0,-118.05K,CLOSE,0%
78574H104,SOC,SABLE OFFSHORE CORP COM,0,-13389,0,-120.77K,CLOSE,0%
88636W650,IRE,TIDAL TRUST,0,-20589,0,-122.3K,CLOSE,0%
77926X619,AVGW,ROUNDHILL ETF TRUST,0,-2621,0,-124.86K,CLOSE,0%
26923N173,MSTU,ETF OPPORTUNITIES TRUST T-REX 2X,0,-16877,0,-140.25K,CLOSE,0%
882927338,CRMG,THEMES ETF TR LEVERAGE,0,-11241,0,-154.11K,CLOSE,0%
00510N102,TIC,TIC SOLUTIONS INC,0,-15308,0,-154.76K,CLOSE,0%
91288X109,UNL,UNITED STS 12 MONTH NAT GAS UNIT,15071,-22572,103.99K,-155.75K,-60%,0.01%
92206C623,VTWG,VANGUARD SCOTTSDALE FDS,0,-742,0,-175.1K,CLOSE,0%
882927387,ADBG,THEMES ETF TR LEVERAGE,0,-17194,0,-175.72K,CLOSE,0%
77311W101,RKT,ROCKET COS INC COM,7429,-12573,105.86K,-179.16K,-62.9%,0.01%
88023B103,TEM,TEMPUS AI INC,0,-3085,0,-182.17K,CLOSE,0%
90041L105,TPB,TURNING PT BRANDS INC,0,-1695,0,-183.74K,CLOSE,0%
74347G440,BITO,PROSHARES,0,-15435,0,-187.69K,CLOSE,0%
565788106,MARA,MARA HOLDINGS INC,0,-21355,0,-191.77K,CLOSE,0%
74349Y431,CRCA,PROSHARES TR ULTRA,0,-47668,0,-192.58K,CLOSE,0%
46092D715,LABX,INVESTMENT MANAGERS SER TR I TRADR,0,-12992,0,-197.93K,CLOSE,0%
48138M105,JMIA,JUMIA TECHNOLOGIES,0,-16690,0,-208.46K,CLOSE,0%
293828877,XOVR,ENTREPRENEURSHARES SERIES TR,0,-10656,0,-214.61K,CLOSE,0%
53656G498,MAGS,LISTED FDS,0,-3289,0,-216.94K,CLOSE,0%
33734X176,FXL,FIRST TR EXCHANGE TRADED FD,0,-1300,0,-218.76K,CLOSE,0%
19260Q107,COIN,COINBASE GLOBAL INC COM,6675,-1262,1.17M,-220.36K,-15.9%,0.16%
88636X856,CONY,TIDAL TRUST II YIELDMAX,0,-5626,0,-221.38K,CLOSE,0%
50015M109,KOD,KODIAK SCIENCES INC,0,-8037,0,-224.72K,CLOSE,0%
53656G191,XXRP,LISTED FDS TR TEUCRIUM,0,-23693,0,-226.03K,CLOSE,0%
91332U101,U,UNITY SOFTWARE INC,0,-5220,0,-230.57K,CLOSE,0%
38747R751,AMDL,GRANITESHARES ETF TR GRANITE,0,-14966,0,-232.72K,CLOSE,0%
25460G286,TSLL,DIREXION SHS ETF TR DAILY TSLA,0,-12243,0,-233.96K,CLOSE,0%
26923Q457,CRCD,ETF OPPORTUNITIES TRUST T-REX,0,-6865,0,-235.88K,CLOSE,0%
38747R744,AMZZ,GRANITESHARES ETF TR,0,-7654,0,-240.87K,CLOSE,0%
88636V678,OKLL,TIDAL TRUST,11025,-39828,66.7K,-240.96K,-78.3%,<.01%
88636V769,SMST,TIDAL TRUST,0,-2665,0,-247.31K,CLOSE,0%
25459W862,SPXL,DIREXION SHARES ETF TRUST DAILY,2016,-1351,372.74K,-249.79K,-40.1%,0.05%
501575104,KYMR,KYMERA THERAPEUTICS INC,0,-3282,0,-255.37K,CLOSE,0%
92936U109,WPC,WP CAREY INC,0,-3972,0,-255.64K,CLOSE,0%
46434G822,EWJ,ISHARES INC,0,-3230,0,-260.79K,CLOSE,0%
25461A387,KORU,DIREXION SHARES ETF TRUST DAILY,109,-930,30.97K,-264.23K,-89.5%,<.01%
03743Q108,APA,APA CORPORATION,0,-10852,0,-265.44K,CLOSE,0%
922908736,VUG,VANGUARD INDEX,0,-547,0,-266.86K,CLOSE,0%
38964R203,ETH,GRAYSCALE ETHEREUM MINI TR E,0,-9531,0,-267.44K,CLOSE,0%
26923N389,ROBN,ETF OPPORTUNITIES TRUST T REX 2X,0,-5214,0,-282.29K,CLOSE,0%
042315705,ARR,ARMOUR RESIDENTIAL REIT INC COM,0,-15958,0,-282.3K,CLOSE,0%
38747R736,MSFL,GRANITESHARES ETF TR,0,-10480,0,-284.93K,CLOSE,0%
76655K103,RGTI,RIGETTI COMPUTING INC,0,-13437,0,-297.63K,CLOSE,0%
33737A108,GRID,FIRST TR EXCHANGE-TRADED FD NASDQ,3302,-1821,540.14K,-297.88K,-35.5%,0.07%
78464A862,XSD,SPDR,165,-935,53.81K,-304.92K,-85%,<.01%
25461A833,NVDU,DIREXION SHARES ETF TRUST DLY NVDA,16,-3252,1.54K,-313.41K,-99.5%,<.01%
74280R205,UFO,PROCURE ETF TRUST,0,-8111,0,-313.49K,CLOSE,0%
88636J139,IWMY,TIDAL TRUST,0,-16028,0,-315.75K,CLOSE,0%
91917A207,WGMI,VALKYRIE ETF TRUST II,4143,-9135,144.26K,-318.08K,-68.8%,0.02%
46140H106,DBA,INVESCO DB MULTI-SECTOR,0,-12622,0,-322.11K,CLOSE,0%
26923N579,MSFX,ETF OPPORTUNITIES TRUST T REX 2X,0,-12115,0,-331.35K,CLOSE,0%
78433H642,BTCI,NEOS ETF TRUST BITCOIN,13677,-10148,448.33K,-332.65K,-42.6%,0.06%
25461A585,REKT,DIREXION SHS ETF,0,-18467,0,-342.73K,CLOSE,0%
38747R496,RDTL,GRANITESHARES ETF TR 2X LONG,0,-6835,0,-343.1K,CLOSE,0%
464287598,IWD,ISHARES TR RUS 1000,0,-1652,0,-347.48K,CLOSE,0%
26923N595,GOOX,ETF OPPORTUNITIES TRUST T REX 2X,0,-5055,0,-352.74K,CLOSE,0%
38747R645,CRWL,GRANITESHARES ETF TR 2X LONG,0,-11867,0,-365.59K,CLOSE,0%
G2130T108,CCCX,CHURCHILL CAP CORP X SHS,0,-23541,0,-367.24K,CLOSE,0%
88636W288,NVOX,TIDAL TRUST II DEFIANCE,0,-16780,0,-367.31K,CLOSE,0%
92864M830,SOLT,VOLATILITY SHS TR,0,-58526,0,-373.4K,CLOSE,0%
46982L108,J,JACOBS SOLUTIONS INC,323,-3342,41.11K,-425.37K,-91.2%,<.01%
25460E216,FAZ,DIREXION SHS ETF TR DAILY,0,-11110,0,-426.96K,CLOSE,0%
25461A445,PLTU,DIREXION SHS ETF TR DAILY,0,-5837,0,-429.25K,CLOSE,0%
97720F101,BTCW,WISDOMTREE BITCOIN FD SHS,2793,-6173,200.29K,-442.67K,-68.8%,0.03%
38747R827,NVDL,GRANITESHARES ETF TR 2X LONG,3620,-6307,262.7K,-457.7K,-63.5%,0.04%
38747R868,BABX,GRANITESHARES ETF TR 2X LONG,0,-12935,0,-466.18K,CLOSE,0%
192108504,CDE,COEUR MNG INC,28031,-25339,526.14K,-475.61K,-47.5%,0.07%
46143U518,GEVX,INVESTMENT MANAGERS SER TR I TRADR,3813,-9209,197.74K,-477.58K,-70.7%,0.03%
25461A809,METU,DIREXION SHS ETF TR DAILY,0,-15352,0,-492.95K,CLOSE,0%
88636R545,SOFX,TIDAL TRUST,0,-17370,0,-493.48K,CLOSE,0%
023135106,AMZN,AMAZON COM INC,20071,-2408,4.18M,-501.51K,-10.7%,0.56%
464287739,IYR,ISHARES TR U.S. REAL,0,-5499,0,-516.3K,CLOSE,0%
464288257,ACWI,ISHARES TR MSCI,0,-3675,0,-519.98K,CLOSE,0%
63945M107,NBBK,NB BANCORP INC,0,-26577,0,-526.76K,CLOSE,0%
81369Y100,XLB,SELECT SECTOR SPDR,0,-11771,0,-533.82K,CLOSE,0%
46144X115,NVDS,INVESTMENT MANAGERS SER TR I TRADR,0,-19905,0,-557.54K,CLOSE,0%
25460E190,SPXS,DIREXION SHARES ETF TRUST DAILY,9129,-13786,369.63K,-558.19K,-60.2%,0.05%
26923N447,NFLU,ETF OPPORTUNITIES TRUST T REX 2X,0,-17429,0,-565.4K,CLOSE,0%
38747R678,MULL,GRANITESHARES ETF TR 2X LONG,752,-5397,79.98K,-574.03K,-87.8%,0.01%
45720N103,INBX,INHIBRX BIOSCIENCES INC,0,-7402,0,-584.76K,CLOSE,0%
882927668,ASMG,THEMES ETF TR LEVERAGE,0,-25980,0,-586.89K,CLOSE,0%
81369Y704,XLI,SELECT SECTOR SPDR,0,-3894,0,-604.04K,CLOSE,0%
301505475,NUKZ,EXCHANGE TRADED CONCEPTS TRU RANGE,0,-10061,0,-638.87K,CLOSE,0%
81369Y605,XLF,SELECT SECTOR SPDR,9497,-14116,468.87K,-696.91K,-59.8%,0.06%
46092D749,MQQQ,INVESTMENT MANAGERS SER TR I TRADR 2X,0,-4034,0,-732.04K,CLOSE,0%
88636J600,CHAT,TIDAL TRUST,0,-13873,0,-817.95K,CLOSE,0%
464286772,EWY,ISHARES INC MSCI STH,0,-8671,0,-843K,CLOSE,0%
74349Y571,ETHT,PROSHARES,0,-24268,0,-911.99K,CLOSE,0%
595112103,MU,MICRON TECHNOLOGY INC,0,-3279,0,-935.86K,CLOSE,0%
00217D100,ASTS,AST SPACEMOBILE INC COM,0,-13305,0,-966.34K,CLOSE,0%
92537N108,VRT,VERTIV HOLDINGS CO COM,0,-6254,0,-1.01M,CLOSE,0%
808524102,SCHB,SCHWAB STRATEGIC TR US BRD,0,-39154,0,-1.03M,CLOSE,0%
77926X635,HOOW,ROUNDHILL ETF TRUST,0,-21665,0,-1.03M,CLOSE,0%
947913109,IVES,WEDBUSH SER TR DAN,0,-32825,0,-1.04M,CLOSE,0%
25460G161,FNGG,DIREXION SHS ETF TR DAILY,0,-5277,0,-1.09M,CLOSE,0%
66987V109,NVS,NOVARTIS,0,-8516,0,-1.17M,CLOSE,0%
88636R511,ORCX,TIDAL TRUST,0,-69156,0,-1.19M,CLOSE,0%
44812J104,HUT,HUT 8 CORP,0,-26054,0,-1.2M,CLOSE,0%
172573107,CRCL,CIRCLE INTERNET GROUP INC COM,0,-15362,0,-1.22M,CLOSE,0%
74347W353,AGQ,PROSHARES TR,0,-7925,0,-1.23M,CLOSE,0%
26923N819,NVDX,ETF OPPORTUNITIES TRUST T REX,1197,-94345,16.67K,-1.31M,-98.7%,<.01%
26740W109,QBTS,D-WAVE QUANTUM INC,0,-52527,0,-1.37M,CLOSE,0%
92864M301,BITX,VOLATILITY SHS TR,0,-51580,0,-1.43M,CLOSE,0%
882927122,UNHG,THEMES ETF TR LEVERAGE,0,-85961,0,-1.44M,CLOSE,0%
37960A735,BKCH,GLOBAL X FDS GBL,12848,-30249,717.43K,-1.69M,-70.2%,0.1%
032108649,SILJ,AMPLIFY ETF,48289,-57617,1.44M,-1.71M,-54.4%,0.19%
464287465,EFA,ISHARES TR MSCI,0,-17972,0,-1.73M,CLOSE,0%
37954Y830,COPX,GLOBAL X FDS GLOBAL,22700,-23850,1.73M,-1.82M,-51.2%,0.23%
36828A101,GEV,GE VERNOVA INC,0,-3019,0,-1.97M,CLOSE,0%
74347W601,UGL,PROSHARES TR,0,-45513,0,-2.53M,CLOSE,0%
38747R843,FBL,GRANITESHARES ETF TR 2X LONG,0,-80127,0,-2.6M,CLOSE,0%
92189F601,NLR,VANECK ETF TRUST URANIUM AND,8183,-25612,1.09M,-3.41M,-75.8%,0.15%
369604301,GE,GE AEROSPACE,0,-11279,0,-3.47M,CLOSE,0%
92189F692,PPH,VANECK ETF TRUST,0,-33767,0,-3.48M,CLOSE,0%
464287184,FXI,ISHARES,0,-97413,0,-3.73M,CLOSE,0%
464285204,IAU,ISHARES GOLD TR,4562,-43434,402.19K,-3.83M,-90.5%,0.05%
